book_id,title,author,publisher,original_title,translator,pub_year,pages,price,currency_unit,binding,isbn,author_intro,book_intro,content,tags,picture
1000067,美丽心灵,[美] 西尔维娅·娜萨,上海科技教育出版社,"A Beautiful Mind : Genius, Schizophrenia and Recovery in the Life of a Nobel Laureate",王尔山,2-Jan,594,3879,元,平装,9.79E+12,"西尔维娅?娜萨，曾任《财富》杂志和《美国新闻与世界报道》记者，现任《纽约时报》经济记者，本书是她的处女作。
娜萨写出了一部扣人心弦的报告，它牵涉到一个令人难以置信的人物、一个“美丽”的心灵以及可怕的精神错乱。她也写出了一则非常动人的爱情故事，一部在充满恶梦与天才的世界里人类的亲密关系居于中心地位的报告。
――《新英格兰医学杂志》
","在这本感人至深的生动传记中，作者逼真地再现了一个数学天才——纳什的一生，他的生涯被精神分裂症所打断，但是在经受30年毁灭性的精神疾病困扰后，竟奇迹般地康复，并因年轻时在博弈论方面的奠基性工作，获得1994年诺贝尔经济学奖。本书第一版译作《普林斯顿的幽灵：纳什传》，亦使用同一ISBN。
",,"传记
纳什
数学
美丽心灵
博弈论
经济学
人物
大师
",unknown_value_please_contact_support
1000134,三毛流浪记全集,张乐平,少年儿童出版社,,,2001-8-1,261,3000,元,平装(无盘),9.79E+12,"张乐平，是中国当代最杰出的漫画家之一。1910年11月10日出生于浙江省海盐县海塘乡黄庵头村。父亲是位乡村教师。母亲擅长刺绣、剪纸，是张乐平最早的美术启蒙者。
1923年，在小学老师的指导下，少年张乐平创作了平生第一张漫画《一豕负五千元》，讽刺军阀曹锟贿选，在当地名噪一时。
1927年在家乡反对军阀迎接北伐军宣传队作画。1929年开始，向上海各报纸投稿。30年代初期，经常在《时代漫画》等刊物上发表漫画作品，逐渐成为上海漫画界较有影响的一员。
1935年春夏之交，张乐平笔下的三毛漫画形象在上海诞生，其奇特的造型立即引起广大读者的注意。1937年抗战爆发，为了中华民族的生存，青年张乐平与上海一些漫画同仁组成了“抗战漫画宣传队”，任副领队，带队辗转苏、鄂、湘、徽、浙、赣、闽、粤、桂诸地，
沿途以绘画形式向民众宣传抗日。1940年，张乐平在上饶战区担任漫画宣...
张乐平，是中国当代最杰出的漫画家之一。1910年11月10日出生于浙江省海盐县海塘乡黄庵头村。父亲是位乡村教师。母亲擅长刺绣、剪纸，是张乐平最早的美术启蒙者。
1923年，在小学老师的指导下，少年张乐平创作了平生第一张漫画《一豕负五千元》，讽刺军阀曹锟贿选，在当地名噪一时。
1927年在家乡反对军阀迎接北伐军宣传队作画。1929年开始，向上海各报纸投稿。30年代初期，经常在《时代漫画》等刊物上发表漫画作品，逐渐成为上海漫画界较有影响的一员。
1935年春夏之交，张乐平笔下的三毛漫画形象在上海诞生，其奇特的造型立即引起广大读者的注意。1937年抗战爆发，为了中华民族的生存，青年张乐平与上海一些漫画同仁组成了“抗战漫画宣传队”，任副领队，带队辗转苏、鄂、湘、徽、浙、赣、闽、粤、桂诸地，
沿途以绘画形式向民众宣传抗日。1940年，张乐平在上饶战区担任漫画宣传队队长，并出任《前线日报》副刊“星期漫画”主编。第二年，又在金华参加进步画刊《刀与笔》的筹备与编辑工作。张乐平在东南地区一带坚持漫画宣传工作直到抗战胜利。
1945年，张乐平从广东重返上海，开始新的漫画创作生涯。1946年，《三毛从军记》在上海《申报》发表，引起轰动。第二年，另一部传世之作《三毛流浪记》在《大公报》连载，激起社会强烈反响。这一时期，张乐平的漫画作品大胆地反映了深刻的社会矛盾。
1949年 4月，在宋庆龄的支持下，张乐平举办了三毛原作画展，并义卖三毛原作及各种水彩、素描、写生画，筹款创办“三毛乐园”，收容流浪儿童。
1950年，张乐平担任上海美术工作者协会副主席，以后长期任中国美术家协会上海分会副主席，并历任中国美术家协会理事、常务理事、顾问，中国文联委员，全国政协委员等。
五、六十年代，张乐平创作了大量的时事漫画，名重上海滩。
在此期间，张乐平除创作单幅漫画外，系列漫画计有：《二娃子》、《萌萌与菲菲》、《百喻经新释》、《胡大生活漫记》、《父子春秋》、《我们的故事》、《好孩子》、《宝宝唱奇迹》、《小咪画传》、《小萝卜头》等。三毛系列漫画计有：《三毛翻身记》、《三毛日记》、《三毛今昔》、《三毛新事》、《三毛迎解放》等。
张乐平在《小朋友》、《儿童时代》等刊物上长期为儿童作画，并经常深入学校及少年宫等儿童活动场所辅导小朋友，曾几次荣获“全国先进儿童工作者”称号。
张乐平的艺术生涯是多姿多彩的。除了画漫画，他的年画、插图、速写、素描、水彩画、剪纸、国画都达到了很高的水准。例如，他的年画曾在全国美术作品展览会上获得一等奖”。
文革期间，张乐平受到迫害，被迫搁笔。文革后期，从《解放日报》社调到少年儿童出版社工作。
1977年6月1日，三毛阔别十年后，以系列漫画《三毛学雷锋》形象复出。以后，张乐平又创作了《三毛爱科学》、《三毛与体育》、《三毛旅游记》、《三毛学法》等系列连环漫画。
1983年，文化部在北京举办《三毛流浪记》原稿捐赠授奖仪式，原稿由中国美术馆收藏。
同年，这位令人尊敬的“三毛之父”再次荣获“全国先进少年儿童工作者”称号。1985年，荣获首届中国福利会“樟树奖”。
1983年起，张乐平患严重帕金森氏症病，创作遇到极大困难，但仍在“救灾义卖”等活动中，用颤抖的手坚持作画。平时仍关心着我国的漫画事业和青少年教育事业。
1985年，《漫画世界》刊物在上海创刊，张乐平任主编。
1986年，创作最后一套连环漫画《人到老年》。
1989年，以“三毛”为笔名的台湾著名女作家陈平千里来沪寻父，被传为文坛佳话。张乐平晚年为海峡两岸的文化交流倾注了巨大的热情。1991年以《我的“女儿”三毛》一文，荣获中央人民广播电台“海峡两岸情”征文特等奖。
1991年4月4日，在《解放日报》上发表最后一幅漫画作品：“猫哺鼠”。
1991年冬，张乐平决定将《三毛从军记》原稿捐献给上海美术馆。
1992年1月23日，在上海华东医院因吸入性肺炎病情恶化。
1992年9月27日下午6时，张乐平在上海华东医院与世长辞，享年82岁。
","《三毛流浪记》所描述的三毛所生活的那个时代，已经成为了过去，但是了解过去，了解历史，却是每个人都必须完成的一份答卷。因为了解过去，了解历史可以让成长的脚步更沉着、更坚实，可以让视野更宽广，心胸更博大。在一个人成长的过程中，除了新鲜的空气，灿烂的阳光以外，更需要的冷静的思考，以及心灵的感动和震撼，而这些，在阅读三毛的时候，我们都能够得到。
三毛已经永远地沉淀在无数人成长的记忆中，相信在未来的岁月里，三毛依然会带给我们许多宝贵的东西，让我们体验苦难和不幸，也学会同情，学会关怀和珍爱。
《三毛流浪记》为什么经久不衰？因为它有益于人们的心灵。柯灵先生在香港版序言中写道：“《三毛流浪记》是一部很有趣味的小人书，也是一部给成人看的警世书。三毛身上，背负着沉重的历史阴影，也带了深刻的历史启示，向世界呼唤和平，呼唤公正，呼唤仁慈，呼唤同情，呼唤人道，呼唤文明！”
所...
",,"漫画
三毛
张乐平
童年
中国漫画
经典
绘本
中国
",unknown_value_please_contact_support
1000135,黑色棉花田,（美）蜜尔德瑞?泰勒,中国少年儿童出版社,,吴桢祥,Aug-98,322,1380,元,平装,9.79E+12,"蜜尔德瑞?泰勒(Milderd Taylor)，出生于美国密西西比州的杰克森镇。大学毕业后，她加入“和平服务团”，前往非洲内陆教英文与历史，实现了她的梦想，并且深深爱上了非洲。之后，蜜尔德瑞回到美国，进入科罗拉多大学的新闻学院深造，并担任“黑人教育研究计划”的指导者。?
蜜尔德瑞的成长过程中，虽也曾遭受歧视的待遇(例如使用白人抛弃的破烂教科书，即是一例)，不过大致来说来， 她的童年还是充满亲人的爱。因此她常批评那些将黑人社区，千篇一律描写成脏乱贫民窟的小说；另一方面她也觉得奇怪，为何历史书中没有关于黑人勇敢反抗压迫及为争取尊严而战的记载。因此，蜜尔德瑞决定写作，叙述黑人勇敢地面对困难的故事。她的第一本书《森林之歌》(Song of the Trees)，曾赢得“种族书籍奖”中非裔美籍类 的奖项，及《纽约时报》颁发的1975年“年度风云书刊”奖。而她的...
蜜尔德瑞?泰勒(Milderd Taylor)，出生于美国密西西比州的杰克森镇。大学毕业后，她加入“和平服务团”，前往非洲内陆教英文与历史，实现了她的梦想，并且深深爱上了非洲。之后，蜜尔德瑞回到美国，进入科罗拉多大学的新闻学院深造，并担任“黑人教育研究计划”的指导者。?
蜜尔德瑞的成长过程中，虽也曾遭受歧视的待遇(例如使用白人抛弃的破烂教科书，即是一例)，不过大致来说来， 她的童年还是充满亲人的爱。因此她常批评那些将黑人社区，千篇一律描写成脏乱贫民窟的小说；另一方面她也觉得奇怪，为何历史书中没有关于黑人勇敢反抗压迫及为争取尊严而战的记载。因此，蜜尔德瑞决定写作，叙述黑人勇敢地面对困难的故事。她的第一本书《森林之歌》(Song of the Trees)，曾赢得“种族书籍奖”中非裔美籍类 的奖项，及《纽约时报》颁发的1975年“年度风云书刊”奖。而她的《黑色棉花田》( Roll of Thunder,Hear My Cry)更获得1977年的美国纽伯瑞金牌奖(John Newbery Medal)及1977年 Nation Book Award。
","在民主国家里，你认为以下所叙述的事情能够忍受吗?在公立小学上课，读的是别人十年前
不用的破课本；到商店里买东西，老板不理会按规矩排队的你，的反而去招呼插队的客人；
在人来人往的大街上，公然被人无理地打耳光。
?
生活在一九二三年的美国黑人，就必须忍受这些不平等的待遇。凯西?罗根，是出生美国内
战――也就是奴隶解放战争后约七十年的自由黑人。?
这个约莫十岁的女孩，是家中的掌明珠，也是一个勇敢女孩。她对于黑人所受到的压榨和不
公平，感到十分愤怒和不解。她和她的兄弟们，曾为了报复向他们溅泥水的白人小学校车，
而在路上挖大洞，使得车子陷入其中不能动弹；她也曾为了一泄被白人女孩打耳光的怨气，
低声下气地讨白人女孩欢心，然后一举打垮白人女孩……在那个艰苦的年代中，白人的妄自尊大和黑人的不平之鸣，造成社会上的大冲突。白人们无法坐视当年是他们牛马的奴隶，靠着努力拥有...
",,"儿童文学
纽伯瑞儿童文学奖
美国
小说
黑色棉花田
童年
纽伯瑞儿童文学
纽伯瑞儿童文学奖丛书
",unknown_value_please_contact_support
1000167,中国历代年号考,李崇智,中华书局,,,1-Jan,307,2000,元,平装,9.79E+12,,"《中國歷代年號考》(修订本)初版於一九八一年，一九八五年第二次印本附有订补二十馀条。初版限於当时的条件，用简体字排印。此次修订，根据名从主人的原则，年号按史籍和文物中的原文著录，出土文书中个别少数民族语年号，采用学者公认的汉语译名。为保持全书字体统一，考订按语和其他说明文字也一律改用繁体。
","凡例
酉汉（包括新莽、更始等）
东汉
三国
魏
蜀
昊
晋及十六国
西晋
东晋
前赵
成汉
前凉
後赵（包括冉魏）
前燕
前秦
後秦
後燕
西燕
西秦
後凉
南凉
南燕
西凉
夏
北燕
北凉
南北朝
宋
齐
梁（包括後梁）
陈
北魏
东魏
西魏
北齐
北周
柔然
高昌
隋
唐
吐蕃
于阗
渤海东丹定安
南诏 大理
五代十国
後梁
後店
後晋
後汉
後周
昊
南唐
昊越
楚
闽
南汉
前蜀
後蜀
荆南（南平）
北汉
北宋
南宋
辽（包括北辽）
西辽
西夏
金
兀（包括北元）
明（包括南明）
清
· · · · · ·     (
)
","工具书
历史
李崇智
中國歷代年號考
年號
年号
古代史
中国历史
",unknown_value_please_contact_support
1000280,袁氏当国,[美] 唐德刚,广西师范大学出版社,,,4-Nov,209,1700,,平装,9.79E+12,"唐德刚 1920年出生，安徽合肥人。美国哥伦比亚大学硕土、博士毕业。长期从事历史研究与教学工作，并对口述历史的发展有很大贡献。著有《李宗仁口忆录》《顾维钧回忆录》《胡适口述自传》《胡适杂忆》《晚渭六十年》等，另有包括历史、政论、小说、诗歌、杂文等多部作品。
","《袁氏当国》讲述了袁世凯如何在晚清政府和国民革命军政府之间养敌自重以觊觎总统宝座，宋教仁刺杀案的历史谜团到底暗示了什么真实背景，孙中山的个性对他改造国民党以谋求革命有何影响，袁氏当国时期的内政外交如何复杂多变，筹安会“六君子”与袁氏政府之间的关系到底如何，不该遗忘的古德诺教授的政治理念是什么?作者唐德刚先生凭借其一贯的学者气节，不依风附草，不人云亦云，坚持论从史出，坚持言必有据
上自孙文缔造共和肇始，下逮蔡锷护国运动兴起，寥寥数年，此乃袁世凯当国之年，国可谓不兴，民可谓不幸。《袁氏当国》记载了从武昌起义到袁世凯病死的几年中，中国从一个帝制时代，到“民治时代”的纷乱无比的景象。在我们所受的历史教育中，这段时间除了孙中山先生的所作所为外，其他的是最混乱、最黑暗的，而对窃国大盗袁世凯，我们更是咬牙切齿，但《袁氏当国》就力图改变这个形象，为读者重新烹调了一...
","第一章　孙文创制，宣统退位，袁氏当国
――民国开国史简论
采用美国制度为蓝本
以都督代表会暂代参议院
《临时政府组织大纲》在汉口诞生
从一军三旗到黄、黎易位
虚位原以待袁，中山变成黑马
以孙文为首的政府架构
总统直辖的十部总长
第一任临时政府的人事安排
总长取名，次长取实
总统制乎？内阁制乎？
《民元约法》之诞生
袁世凯的养敌、逼宫和摊牌
老办法的养敌自重
袁氏养敌抓权取位始末时间表
是法统问题，也是面子问题
……
第二章　项城不做虚君，?初志在首相
――记民初共和政体的实践与流产
迎袁专使与京津兵变
袁总统就职与大赦令
袁政府与唐内阁的架构
唐绍仪是怎样一个人？
外交总长是首席总长
黄兴留守南京收拾烂摊子
恩饷与外债
孙逸仙医师的社会丹方
……
第三章　世纪末回顾“宋案”与二次革命
宋教仁非可怕之人
不重用之就杀之
是谁杀了宋教仁
袁世凯的“水门案”与“江南案”
女儿城的故事
……
第四章　孙中山改造国民党，袁世凯做终身总统
对共和国体的认知
民国史的发展自有其客观实在
只谈抽象存在，不谈具体形态
历史史实与历史哲学
共和政体，不合国情
非继承式独裁无法接班
……
第五章　帝制酝酿期的内忧外患
黄和向帝制回潮的过渡体制
袁氏逆流推行中央集权
内忧外患，风雨飘摇
白朗起义
外患比内忧更严重
英国对西藏的割裂企图
……
第六章　记一失足的帝王之梦
――兼评古德诺教授
古德诺的一阵东风
不学美国，改学法国
古德诺其人其事
总统制的辩护士
“帝制乎？共和乎？”的英文原著
继承式的寡头制，优于非继承式的寡头制
英国由共和复辟帝制
……
第七章　帝制终于覆灭，护国也有难题
志在传子
莫到琼楼最上层
异哉，所谓国体问题者
梁启超与文学转型的序幕
北洋系是诸系之祖
“袁家班”班底溯往
北洋系的窝里反
……
· · · · · ·     (
)
","历史
唐德刚
袁世凯
中国近代史
民国
近代史
中国历史
袁氏当国
",unknown_value_please_contact_support
1000317,一个狗娘养的自白,(美)艾伦.纽哈斯,东方出版社,Confessions of an S.O.B,李斯,4-Mar,291,2500,,平装,9.79E+12,"艾伦?纽哈斯：《今日美国》，自由论坛，新闻论坛的创办者，畅销书作者，专栏作家，脱口秀常客，世界范围的讲演者和报告人，传媒集团加内特公司前任主席及首席执行官。
","如果你出身贫寒，必须靠自己闯出一条血路，如果你不满现状，希望以新形象更上一层楼，那这些自白绝对有助于你登上成功阶梯。 艾伦?纽哈斯是一位白手起家的亿万富翁，他把加内特公司发展为美国最大的报业公司，并创办了全美销量最大的报纸《今日美国》。迄今为止，他已出版了《美国各地有话直说》《权力剪影》《真正的一个国家》《世界之窗》《近距离看世界首脑》《差不多一个世界》等作品。目前，他正在写一本新书，讲述人生中“难堪的年代”，该书将为他的第8本著作。
","第一章 当你们这么时，应该微笑
第二章 一个狗娘养的成长史
第三章 权力阶梯上的跳背游戏
第四章 权力：要么利用，要么失去
第五章 人们告诉你说某件事情办不到时，你已经有了胜算的机会
第六章 把金钱，肌肉与魅力结合起来
第七章 艺高人胆大，成败皆人心
第八章 战胜偏见与固执
第九章 盯住大权在握者
第十章 风格的本质
第十一章 婚姻与家庭
第十二章 冲锋的时机，告别的时机
…… ……
· · · · · ·     (
)
","传记
人物
商业
媒体
人物传记
美国
管理
狗娘养的
",unknown_value_please_contact_support
1000364,新唐书（全二十册）,宋祁,中华书局,,,1975-2-1,6472,25000,,平装,9.79E+12,,"《新唐书(套装共20册)》的编撰，约开始于北宋庆历四年（公元一〇四四年），到嘉佑五年（公元一〇六〇年）完成，前后历时约十七年，参加编撰的有欧阳修、宋祁、范镇、吕夏卿等人。《新唐书(套装共20册)》包括本纪十卷，志五十卷，表十五卷，列传一百五十卷，共二百二十五卷。完成后，由欧阳修、宋祁分别署名。
","卷一  本纪第一
高祖皇帝
卷二  本纪第二
太宗皇帝
卷三  本纪第三
高宗皇帝
卷四  本纪第四
则天顺圣武皇后
中宗皇帝
卷五  本纪第五
睿宗皇帝
玄宗皇帝
卷六  本纪第六
肃宗皇帝
代宗皇帝
……
· · · · · ·     (
)
","历史
二十四史
新唐书
欧阳修
中华书局
中国历史
唐朝
古籍
",unknown_value_please_contact_support
1000531,第二次世界大战回忆录（全六卷）,温斯顿·丘吉尔,南方出版社,,吴万沈等,2003-4-1,2975,29800,,精装,9.79E+12,,"《第二次世界大战回忆录(共6册)》1941年上半年，英国仍在北非、地中海、中东和大西洋上孤军奋战，损失军舰和商船共300万吨之巨，情势非常危急。罗斯福决定在冰岛设立基地，由美军参与护航。4月13日，日苏签定中立条约；美日间有关太平洋问题的谈判却毫无进展，因为美方坚持日本先从中国撤兵。6月22日，苏联突遭德军袭击，顷刻间西部边界就被全线突破，损失惨重。丘吉尔当初预期德、苏必将开战的时刻，终于到来。英国向苏军输送军火物资，改变了英国孤立作战的情势。7月起，美国大力供应英苏所需军火；8月份，英、美通过“大西洋宪章”，奠定日后建立联合国的思想基础。12月7日，日军偷袭珍珠港，重创美国太平洋舰队，三天后德国向美国宣战，美国正式参战。丘吉尔所设想的英、美、苏三国的伟大联盟终于实现。邱吉尔举世公认的文学素养，使《第二次世界大战回忆录》流畅易读，因为他“一辈子都在和...
","第一卷
风云紧急
第二卷
最光辉的时刻
第三卷
伟大的同盟
第四卷
命运的关键
第五卷
紧缩包围圈
第六卷
胜利与悲剧
· · · · · ·     (
)
","二战
历史
丘吉尔
回忆录
传记
战争
英国
人物
",unknown_value_please_contact_support
1000687,学习的革命,,上海三联书店,,顾瑞荣,1998-12-1,524,2800,,平装,9.79E+12,"珍妮特?沃斯（Jeannette Vos）出生于荷兰，现居美国。她花了七年时间研究快速学习法，并因此获得教育学博士学位。她同时是个真正的教育家，虽然成长于加拿大，但却把大部分时间投注在美国的教育工作上：在从幼儿园、小学、初高中到大学的各个教育层次都任教过。她的工作经历还包括在美国马萨诸塞州的剑桥学院― 这所全美第一个将“综合快速学习法”运用在百分之七十五课程上的学校――担任过教师。
戈登?德莱顿（Gorden Dryden）是位土生土长的新西兰人，目前是新西兰著名的播音员、记者、主持人。同时他还是一位出色的多媒体通讯专家、电视节目制作人、广告创意主管、公关顾问、出版发行人、电台创办人、作家、研讨会组织者及行销专家。
","它对于商业、学校和家庭都有突出的指导意义——每个人都会重新思考未来、重新思考新的世纪。它涉及了成年人和青年人都面临的最主要的问题，即怎样在较少的时间里学更多的东西，怎样享受学习，怎样保存所学的内容。
","目录
修订本出版者序
你个人通向21世纪的交互式护照
前言
关于温和革命的指南：变绝望为希望
导论
是时候了：在几乎一切都可能的世界里拓宽你的视野
1.未来
塑造未来世界的15种主要趋势
1.即时通讯时代
2.没有经济疆界的世界
3.迈向世界经济一体化的四个步骤
4.新型的服务性社会
5.由大变小
6.休闲新时代
7.不断变化的工作方式
8.妇女担当领导
9.脑的年代
10.文化民族主义
11.不断增长的低层阶级
12.人口的急剧老龄化
13.新型“自己动手”风尚的兴起
14.合作企业
15 个人的胜利
2.为什么你不要最好的
创造世界上最佳教育体制所必需的13个步骤
1.电子通讯的作用
2.每个人必须通晓电脑
3.家长教育亟待提高
4.儿童早期健康服务的重点
5.儿童早期培养计划
6.在任何阶段你都能赶上
7.适合每个个体的学习类型
8.学习怎样学习和学习怎样思考
9.学校应该教什么？
10.四个层面上的学习
11.学习的三重目的
12.我们应该在什么地方教学？
13 简洁明了、去除行话
3.认识奇妙的人脑
你拥有着世界上功能最强的电脑
三脑合一
神经细胞、树突、神经胶质细胞和隔离系统
你有7个不同的“智力中心”
人脑的两个部分
大脑如何存储信息
四种不同的波长
大脑依靠氧气和葡萄糖
关于大脑食物的简单提示
4.自己动手指南
使学习效率提高5倍的20个起始步骤
1.从体育给人的启示开始
2.敢于梦想、敢于想象你的未来
3.设立特定的目标并规定期限
4.尽快找一位富有激情的导师
5.首先从概貌开始
6.多问！
7.找出主要原则
8.找有实践经验的成功者撰写的三本最好的书
9重新学习怎样阅读――更快、更好、更轻松地读
10.用图像和声音强化学习
11.通过动手来学习
12.不要一行行地作记录――画脑图
13.唤回记忆的简便方法
14.学习放松性警觉的艺术
15.实践，实践，再实践
16.复习和回忆
17.使用关联工具和“记忆钩”
18.趣味和游戏
19.好为人师
20.读一门快速学习课程
5.怎样产生绝妙的创意
商业、学业和生活中创意思维12步
1.界定你的问题
2.界定最佳结果并设想它如何实现
3.收集所有的材料
4.打破模式
5.走出你自己的领域
6.尝试各种各样的组合
7.使用你所有的感官
8.关掉――让它酝酿
9.利用音乐或自然放松
10.把它带进睡眠
11.我找到了！它突然出现了
12.再检验它
6.从开始就要正确
生出更好、更聪明的婴儿的实用指南
7.关键的几年
怎样增进0～8岁儿童智能的发展
1一步步活动的至关重要性
2.运用你的常识
3.五种感觉
4.把整个世界作为你的课堂
5.交流的伟大艺术
6.父母是孩子的启蒙老师
7.幼儿园中心的父母们
8.在学校里继续同样的充满乐趣的教学方法
8学习的秘密核心
怎样像规划商业一样成功地规划教育
9.真正的学习
在学习和工作中改革教育的有趣快捷的方法
1.最佳的学习状态
2.通向优秀授课的关键
3.思考它，储存到深层记忆中
4.激活信息以加强学习
5.运用它
6.复习和评估
7.庆祝每一个成功
把所有的原则合在一起运用的实例
重大突破的传播十分缓慢
10.根据类型来做
如何发现自己的学习类型并使用多方面的智力
测定你的学习类型
你是如何吸收信息的
你是如何组织和加工信息的
影响你学习能力的条件
影响学习的物质和生物需求
如何确定学生所偏向的学习类型
你独特的工作类型
四种思维类型
对学校和个人的影响
11.在学校快速“迎头赶上”
只要找到正确的按钮，学习就会一点而通
两条关键的原则：思想一大脑的连接和思想一身体的连接
特殊运动学
多曼一帕尔默一哈蒂更模式
球/树枝/鸟方法
在拼写方面迎头赶上
使用在背上书写的方法来解决反向书写的问题
新西兰的突破
四分钟阅读课程
用录音带辅助的阅读方案
同伴指导
“看、听”方法
新西兰的阅读康复方案
个人的关键词汇
学校数字的启蒙教学
电脑化的“迎头赶上”
SEED数学教学方案
注意力缺乏综合症的神话
12.走出退学的困境
如何取得“高质量”的教育，消除吸毒、帮派和暴力
1.运用日本的商业方法来改进学校
2.以整个世界为课堂的整体学习
3.团体学习和“大图片”技木
4.迈向成功的六周课程
5超级营地带动整体进步
13.规划明日的学校
改变一个国家教育体制的12个步骤
1.作为终身的、长年的社区资源中心的学校
2.询问你的顾客
3.保证让顾客满意
4适合所有的智力品质和学习类型
5.运用世界上最好的教学技巧
6.开发你的关键资源：教师
7.使每一个人既成为一个老师又成为一个学生
8.规划一个四部分的课程
9.改变评估体系
10.运用未来的技术
11.把整个社区作为一种资源来运用
12.给予每一个人选择的权利
14.未来的商业世界
“学习团体”的商业良机
电子多媒体的可能性
快速学习的商业良机
在出售你的产品的同时出售服务和培训
作为一个学习团体的公司
作为一种商业经营的学校或学院
附录：加进新版本的新资料
你的国家怎样才能领导这场革命？
我们个人又应如何行动？
各章注释
跋：超越学习的革命
译后记
· · · · · ·     (
)
","学习
教育
学习的革命
思维
方法
励志
成长
未来规划
",unknown_value_please_contact_support
1000773,人类本性与社会秩序,(美)查尔斯.霍顿.库利,华夏出版社,,包凡一/等,Jan-99,305,1880,,平装,9.79E+12,"查尔斯·霍顿·库利 [Charles Horton Cooley 1864.08.17－1929.05.07]，美国社会学家和社会心理学家，美国传播学研究的先驱。他出生于美国密歇根州安娜堡市，因患癌症逝世。
1890 年，他进入密西根大学主修政治经济学和社会学，1894 年他以论文《交通理论》（The Theory of Transportation, 1894）完成经济学和社会学博士学位，并在密西根大学度过其学术生涯。1892 年在密西根大学任政治经济学讲师，1899 年他成为社会学的助理教授，1907 年获得教授职位，1918 年被选为美国社会学会主席，该学会是他在 1905 年帮助建立的。 　　由于库利很少做定量操作，因此如同 W.詹姆斯是理论心理学家一样，他一般被归为理论社会学家。随着定量运动的普及，库利的观点进入了被忽视的时期。但是，第二次...
查尔斯·霍顿·库利 [Charles Horton Cooley 1864.08.17－1929.05.07]，美国社会学家和社会心理学家，美国传播学研究的先驱。他出生于美国密歇根州安娜堡市，因患癌症逝世。
1890 年，他进入密西根大学主修政治经济学和社会学，1894 年他以论文《交通理论》（The Theory of Transportation, 1894）完成经济学和社会学博士学位，并在密西根大学度过其学术生涯。1892 年在密西根大学任政治经济学讲师，1899 年他成为社会学的助理教授，1907 年获得教授职位，1918 年被选为美国社会学会主席，该学会是他在 1905 年帮助建立的。 　　由于库利很少做定量操作，因此如同 W.詹姆斯是理论心理学家一样，他一般被归为理论社会学家。随着定量运动的普及，库利的观点进入了被忽视的时期。但是，第二次世界大战以后，由于他的自我观点，由于他强调原始团体的重要性，由于他对社会过程和制度分析的评论，他的著作又开始为人们所引述。
库利对于自我的观念有重要的贡献。他认为心智不但不是像笛卡儿所认为的超然于外在的世界，反倒是个人与世界互动的产物。
他的另外两个重要概念是初级团体和次级团体。他从社会学角度将小团体划分为初级团体（primary group, 1909）与次级团体（secondary group）。
","""现代西方思想文库""选译的著作，在力求反映现代西方思想学术的独创性与思维深邃性的同时，尤其注重思想的全面性及其内涵的启迪价值。本书从一本全新的观点来探讨""人类本性与社会秩序""方面的学术精典著作。
","目 录
译者前言
前 言
导 论 遗传和本能
第一章 社会和个人
第二章 暗示和选择
第三章 社会交往以及对他人的观念
第四章 作为社会行为的同情或理解
第五章 社会自我――“我”的意义
第六章 社会自我――“我”的各种表现
第七章 敌 意
第八章 竞 争
第九章 领导才能或个人优势
第十章 良心的社会方面
第十一章 个人退化
第十二章 自 由
· · · · · ·     (
)
","社会学
社会心理学
库利
心理学
经典社会学及其传承
政治学
学术经典
传播学
",unknown_value_please_contact_support
